14.695,3.023
13.821,5.839
12.438,8.387
10.607,10.606
8.387,12.438
5.839,13.821
3.023,14.695
0.000,15.000
-3.023,14.695
-5.839,13.821
-8.387,12.438
-10.607,10.606
-12.438,8.387
-13.821,5.839
-14.695,3.023
-15.000,0.000
-14.734,-2.984
-13.935,-5.693
-13.335,-6.930
-11.735,-9.138
-10.032,-10.671
-8.028,-11.999
-6.495,-12.789
-5.287,-14.008
-5.000,-15.346
-5.000,-17.877
-5.000,-20.227
-5.000,-22.693
-5.000,-25.107
-5.000,-27.517
-5.000,-30.000
-2.646,-30.000
0.000,-30.000
2.528,-30.000
5.000,-30.000
5.000,-27.576
5.000,-24.930
5.000,-22.049
5.000,-19.166
5.000,-16.228
5.000,-12.700
5.000,-10.000
5.000,-10.000
4.898,-8.992
4.146,-7.205
2.796,-5.854
1.008,-5.102
-0.511,-4.974
-2.383,-4.397
-3.858,-3.181
-4.775,-1.487
-5.000,0.000
-4.607,1.946
-3.535,3.536
-1.946,4.607
0.000,5.000
1.946,4.607
3.536,3.536
4.607,1.946
4.898,1.008
5.000,0.000
5.000,0.000
5.393,-1.946
6.465,-3.535
8.054,-4.607
10.000,-5.000
11.946,-4.607
13.535,-3.535
14.607,-1.946
15.000,0.000
14.695,3.023
