"Distance [mm]","Voltage [V]","MagE [V_per_meter]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []"
1.4904,99.0372643784882,645.914812140581,-0.001,0,0.0085096,0,0,-1
1.512,99.0233118496128,645.914997396317,-0.001,0,0.008488,0,0,-1
1.5336,99.0093593459623,645.915615071293,-0.001,0,0.0084664,0,0,-1
1.5552,98.9954068675366,645.916665168542,-0.001,0,0.0084448,0,0,-1
1.5768,98.981454414336,645.91814769204,-0.001,0,0.0084232,0,0,-1
1.5984,98.9675019863602,645.920062646697,-0.001,0,0.0084016,0,0,-1
1.62,98.9535495836093,645.92241003836,-0.001,0,0.00838,0,0,-1
1.6416,98.9395972060834,645.925189873814,-0.001,0,0.0083584,0,0,-1
1.6632,98.9256448537823,645.928402160781,-0.001,0,0.0083368,0,0,-1
1.6848,98.9116925267062,645.93204690792,-0.001,0,0.0083152,0,0,-1
1.7064,98.897740224855,645.936124124826,-0.001,0,0.0082936,0,0,-1
1.728,98.8837879482287,645.940633822035,-0.001,0,0.008272,0,0,-1
1.7496,98.8698356968273,645.945576011013,-0.001,0,0.0082504,0,0,-1
1.7712,98.8558834706508,645.950950704169,-0.001,0,0.0082288,0,0,-1
1.7928,98.8419312696993,645.956757914847,-0.001,0,0.0082072,0,0,-1
1.8144,98.8279790939726,645.962997657328,-0.001,0,0.0081856,0,0,-1
1.836,98.8140269434709,645.969669946831,-0.001,0,0.008164,0,0,-1
1.8576,98.8000748181941,645.976774799512,-0.001,0,0.0081424,0,0,-1
1.8792,98.7861227181422,645.984312232461,-0.001,0,0.0081208,0,0,-1
1.9008,98.7721706433152,645.992282263708,-0.001,0,0.0080992,0,0,-1
1.9224,98.7582185937131,646.000684912222,-0.001,0,0.0080776,0,0,-1
1.944,98.744266569336,646.009520197906,-0.001,0,0.008056,0,0,-1
1.9656,98.7303145701837,646.018788141597,-0.001,0,0.0080344,0,0,-1
1.9872,98.7163625962564,646.028488765079,-0.001,0,0.0080128,0,0,-1
2.0088,98.702410647554,646.03862209106,-0.001,0,0.0079912,0,0,-1
2.0304,98.6884587240764,646.049188143198,-0.001,0,0.0079696,0,0,-1
2.052,98.6745068258238,646.060186946078,-0.001,0,0.007948,0,0,-1
2.0736,98.6605549527962,646.071618525229,-0.001,0,0.0079264,0,0,-1
2.0952,98.6466031049933,646.083482907111,-0.001,0,0.0079048,0,0,-1
2.1168,98.6326512824155,646.095780119125,-0.001,0,0.0078832,0,0,-1
2.1384,98.6186994850626,646.108510189611,-0.001,0,0.0078616,0,0,-1
2.16,98.6047477129345,646.12167314784,-0.001,0,0.00784,0,0,-1
2.1816,98.5907959660315,646.135269024025,-0.001,0,0.0078184,0,0,-1
2.2032,98.5768442443532,646.149297849314,-0.001,0,0.0077968,0,0,-1
2.2248,98.5628925478999,646.163759655793,-0.001,0,0.0077752,0,0,-1
2.2464,98.5489408766716,646.178654476483,-0.001,0,0.0077536,0,0,-1
2.268,98.5349824485474,646.184421170511,-0.001,0,0.007732,0,0,-1
2.2896,98.5210230184985,646.186937231004,-0.001,0,0.0077104,0,0,-1
2.3112,98.5070639728833,646.187952503258,-0.001,0,0.0076888,0,0,-1
2.3328,98.4931053117017,646.187465629542,-0.001,0,0.0076672,0,0,-1
2.3544,98.4791470349536,646.185475324544,-0.001,0,0.0076456,0,0,-1
2.376,98.4651891426391,646.181980375371,-0.001,0,0.007624,0,0,-1
2.3976,98.4512316347583,646.176979641546,-0.001,0,0.0076024,0,0,-1
2.4192,98.437274511311,646.170472055012,-0.001,0,0.0075808,0,0,-1
2.4408,98.4233177722974,646.162456620127,-0.001,0,0.0075592,0,0,-1
2.4624,98.4093614177173,646.152932413669,-0.001,0,0.0075376,0,0,-1
2.484,98.3954054475708,646.141898584833,-0.001,0,0.007516,0,0,-1
2.5056,98.3814498618579,646.12935435523,-0.001,0,0.0074944,0,0,-1
2.5272,98.3674946605786,646.115299018894,-0.001,0,0.0074728,0,0,-1
2.5488,98.3535398437329,646.099731942269,-0.001,0,0.0074512,0,0,-1
2.5704,98.3395854113208,646.082652564223,-0.001,0,0.0074296,0,0,-1
2.592,98.3256313633423,646.06406039604,-0.001,0,0.007408,0,0,-1
2.6136,98.3116776997974,646.043955021421,-0.001,0,0.0073864,0,0,-1
2.6352,98.297724420686,646.022336096484,-0.001,0,0.0073648,0,0,-1
2.6568,98.2837715260083,645.999203349766,-0.001,0,0.0073432,0,0,-1
2.6784,98.2698190157641,645.974556582224,-0.001,0,0.0073216,0,0,-1
2.7,98.2558668899536,645.948395667228,-0.001,0,0.0073,0,0,-1
2.7216,98.2419151485766,645.920720550568,-0.001,0,0.0072784,0,0,-1
2.7432,98.2279637916333,645.891531250455,-0.001,0,0.0072568,0,0,-1
2.7648,98.2140128191235,645.860827857511,-0.001,0,0.0072352,0,0,-1
2.7864,98.2000622310473,645.828610534781,-0.001,0,0.0072136,0,0,-1
2.808,98.1861120274048,645.794879517725,-0.001,0,0.007192,0,0,-1
2.8296,98.1721622081958,645.759635114223,-0.001,0,0.0071704,0,0,-1
2.8512,98.1582127734204,645.722877704572,-0.001,0,0.0071488,0,0,-1
2.8728,98.1442637230786,645.684607741485,-0.001,0,0.0071272,0,0,-1
2.8944,98.1303150571704,645.644825750095,-0.001,0,0.0071056,0,0,-1
2.916,98.1163667756958,645.60353232795,-0.001,0,0.007084,0,0,-1
2.9376,98.1024188786548,645.56072814502,-0.001,0,0.0070624,0,0,-1
2.9592,98.0884713660473,645.516413943689,-0.001,0,0.0070408,0,0,-1
2.9808,98.0745242378735,645.470590538762,-0.001,0,0.0070192,0,0,-1
3.0024,98.0605774941333,645.423258817457,-0.001,0,0.0069976,0,0,-1
3.024,98.0466311348266,645.374419739414,-0.001,0,0.006976,0,0,-1
3.0456,98.0326851599536,645.324074336689,-0.001,0,0.0069544,0,0,-1
3.0672,98.0187395695142,645.272223713756,-0.001,0,0.0069328,0,0,-1
3.0888,98.0047943635083,645.218869047507,-0.001,0,0.0069112,0,0,-1
3.1104,97.990849541936,645.164011587251,-0.001,0,0.0068896,0,0,-1
3.132,97.9769051047973,645.107652654716,-0.001,0,0.006868,0,0,-1
3.1536,97.9629610520923,645.049793644049,-0.001,0,0.0068464,0,0,-1
3.1752,97.9490173838208,644.990436021808,-0.001,0,0.0068248,0,0,-1
3.1968,97.9350740999829,644.929581326977,-0.001,0,0.0068032,0,0,-1
3.2184,97.9211312005786,644.867231170953,-0.001,0,0.0067816,0,0,-1
3.24,97.9071886856079,644.803387237554,-0.001,0,0.00676,0,0,-1
3.2616,97.8932159519287,644.804643946316,-0.001,0,0.0067384,0,0,-1
3.2832,97.8792225058349,644.846258205816,-0.001,0,0.0067168,0,0,-1
3.3048,97.8652363212646,644.866124853596,-0.001,0,0.0066952,0,0,-1
3.3264,97.8512573982178,644.86423115137,-0.001,0,0.0066736,0,0,-1
3.348,97.8372857366943,644.840565087895,-0.001,0,0.006652,0,0,-1
3.3696,97.8233213366943,644.795115378973,-0.001,0,0.0066304,0,0,-1
3.3912,97.8093641982178,644.727871467442,-0.001,0,0.0066088,0,0,-1
3.4128,97.7954143212647,644.638823523194,-0.001,0,0.0065872,0,0,-1
3.4344,97.7814717058349,644.527962443153,-0.001,0,0.0065656,0,0,-1
3.456,97.7675363519287,644.395279851292,-0.001,0,0.006544,0,0,-1
3.4776,97.7536082595459,644.240768098625,-0.001,0,0.0065224,0,0,-1
3.4992,97.7396874286865,644.064420263209,-0.001,0,0.0065008,0,0,-1
3.5208,97.7257738593506,643.866230150142,-0.001,0,0.0064792,0,0,-1
3.5424,97.7118675515381,643.64619229157,-0.001,0,0.0064576,0,0,-1
3.564,97.697968505249,643.404301946675,-0.001,0,0.006436,0,0,-1
3.5856,97.6840767204834,643.140555101687,-0.001,0,0.0064144,0,0,-1
3.6072,97.6701921972412,642.854948469875,-0.001,0,0.0063928,0,0,-1
3.6288,97.6563149355224,642.547479491556,-0.001,0,0.0063712,0,0,-1
3.6504,97.6424449353271,642.218146334083,-0.001,0,0.0063496,0,0,-1
3.672,97.6285821966553,641.866947891857,-0.001,0,0.006328,0,0,-1
3.6936,97.6147267195068,641.493883786319,-0.001,0,0.0063064,0,0,-1
3.7152,97.6008785038818,641.098954365956,-0.001,0,0.0062848,0,0,-1
3.7368,97.5870375497803,640.682160706292,-0.001,0,0.0062632,0,0,-1
3.7584,97.5732038572021,640.243504609901,-0.001,0,0.0062416,0,0,-1
3.78,97.5593774261475,639.782988606395,-0.001,0,0.00622,0,0,-1
3.8016,97.5455582566162,639.30061595243,-0.001,0,0.0061984,0,0,-1
3.8232,97.5317463486084,638.796390631705,-0.001,0,0.0061768,0,0,-1
3.8448,97.517941702124,638.27031735496,-0.001,0,0.0061552,0,0,-1
3.8664,97.5041443171631,637.722401559982,-0.001,0,0.0061336,0,0,-1
3.888,97.4903541937256,637.152649411595,-0.001,0,0.006112,0,0,-1
3.9096,97.4765713318115,636.561067801674,-0.001,0,0.0060904,0,0,-1
3.9312,97.4627957314209,635.947664349127,-0.001,0,0.0060688,0,0,-1
3.9528,97.4490273925537,635.312447399912,-0.001,0,0.0060472,0,0,-1
3.9744,97.43526631521,634.655426027027,-0.001,0,0.0060256,0,0,-1
3.996,97.4215124993897,633.976610030513,-0.001,0,0.006004,0,0,-1
4.0176,97.4077659450928,633.276009937454,-0.001,0,0.0059824,0,0,-1
4.0392,97.3940266523193,632.553637001975,-0.001,0,0.0059608,0,0,-1
4.0608,97.3802946210693,631.809503205249,-0.001,0,0.0059392,0,0,-1
4.0824,97.3665698513428,631.043621255487,-0.001,0,0.0059176,0,0,-1
4.104,97.3528523431397,630.256004587943,-0.001,0,0.005896,0,0,-1
4.1256,97.33914209646,629.446667364917,-0.001,0,0.0058744,0,0,-1
4.1472,97.3254391113037,628.615624475748,-0.001,0,0.0058528,0,0,-1
4.1688,97.3117433876709,627.762891536819,-0.001,0,0.0058312,0,0,-1
4.1904,97.2980549255616,626.888484891559,-0.001,0,0.0058096,0,0,-1
4.212,97.2843737249756,625.992421610435,-0.001,0,0.005788,0,0,-1
4.2336,97.2706997859131,625.07471949096,-0.001,0,0.0057664,0,0,-1
4.2552,97.2569868302712,623.530719722993,-0.001,0,0.0057448,0,0,-1
4.2768,97.2432112029275,619.962050493484,-0.001,0,0.0057232,0,0,-1
4.2984,97.2295653780838,616.216699698433,-0.001,0,0.0057016,0,0,-1
4.32,97.21604935574,612.294278026557,-0.001,0,0.00568,0,0,-1
4.3416,97.2026631358963,608.194451883482,-0.001,0,0.0056584,0,0,-1
4.3632,97.1894067185525,603.916943391734,-0.001,0,0.0056368,0,0,-1
4.3848,97.1762801037088,599.461530390742,-0.001,0,0.0056152,0,0,-1
4.4064,97.163283291365,594.828046436843,-0.001,0,0.0055936,0,0,-1
4.428,97.1504162815213,590.016380803277,-0.001,0,0.005572,0,0,-1
4.4496,97.1376790741775,585.026478480187,-0.001,0,0.0055504,0,0,-1
4.4712,97.1250716693337,579.858340174621,-0.001,0,0.0055288,0,0,-1
4.4928,97.11259406699,574.512022310529,-0.001,0,0.0055072,0,0,-1
4.5144,97.1002462671462,568.98763702877,-0.001,0,0.0054856,0,0,-1
4.536,97.0880282698025,563.285352187102,-0.001,0,0.005464,0,0,-1
4.5576,97.0759400749587,557.405391360189,-0.001,0,0.0054424,0,0,-1
4.5792,97.063981682615,551.348033839602,-0.001,0,0.0054208,0,0,-1
4.6008,97.0521530927712,545.11361463381,-0.001,0,0.0053992,0,0,-1
4.6224,97.0404543054275,538.702524468192,-0.001,0,0.0053776,0,0,-1
4.644,97.0288853205837,532.115209785028,-0.001,0,0.005356,0,0,-1
4.6656,97.01744613824,525.352172743503,-0.001,0,0.0053344,0,0,-1
