"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,60,-0.001,0,0.01,0,0,-1,429.815370416111
0.0216,59.9907159238932,-0.001,0,0.0099784,0,0,-1,429.821306143212
0.0432,59.9814317195746,-0.001,0,0.0099568,0,0,-1,429.827241870313
0.0648,59.9721473870444,-0.001,0,0.0099352,0,0,-1,429.833177597414
0.0864,59.9628629263024,-0.001,0,0.0099136,0,0,-1,429.839113324515
0.108,59.9535783373488,-0.001,0,0.009892,0,0,-1,429.845049051616
0.1296,59.9442936201834,-0.001,0,0.0098704,0,0,-1,429.850984778717
0.1512,59.9350087748063,-0.001,0,0.0098488,0,0,-1,429.856920505818
0.1728,59.9257238012176,-0.001,0,0.0098272,0,0,-1,429.862856232919
0.1944,59.916438699417,-0.001,0,0.0098056,0,0,-1,429.86879196002
0.216,59.9071534694048,-0.001,0,0.009784,0,0,-1,429.874727687121
0.2376,59.897868111181,-0.001,0,0.0097624,0,0,-1,429.880663414222
0.2592,59.8885826247454,-0.001,0,0.0097408,0,0,-1,429.886599141323
0.2808,59.8792970100981,-0.001,0,0.0097192,0,0,-1,429.892534868424
0.3024,59.870011267239,-0.001,0,0.0096976,0,0,-1,429.898470595525
0.324,59.8607253961683,-0.001,0,0.009676,0,0,-1,429.904406322627
0.3456,59.8514401115071,-0.001,0,0.0096544,0,0,-1,429.851402782259
0.3672,59.8421552984148,-0.001,0,0.0096328,0,0,-1,429.853513173746
0.3888,59.832870439738,-0.001,0,0.0096112,0,0,-1,429.855623565234
0.4104,59.8235855354767,-0.001,0,0.0095896,0,0,-1,429.857733956721
0.432,59.814300585631,-0.001,0,0.009568,0,0,-1,429.859844348208
0.4536,59.8050155902009,-0.001,0,0.0095464,0,0,-1,429.861954739696
0.4752,59.7957305491863,-0.001,0,0.0095248,0,0,-1,429.864065131183
0.4968,59.7864454625872,-0.001,0,0.0095032,0,0,-1,429.86617552267
0.5184,59.7771603304037,-0.001,0,0.0094816,0,0,-1,429.868285914157
0.54,59.7678751526358,-0.001,0,0.00946,0,0,-1,429.870396305645
0.5616,59.7585899292833,-0.001,0,0.0094384,0,0,-1,429.872506697132
0.5832,59.7493046603464,-0.001,0,0.0094168,0,0,-1,429.874617088619
0.6048,59.7400193458251,-0.001,0,0.0093952,0,0,-1,429.876727480106
0.6264,59.7307339857193,-0.001,0,0.0093736,0,0,-1,429.878837871594
0.648,59.721448580029,-0.001,0,0.009352,0,0,-1,429.880948263081
0.6696,59.7121631287543,-0.001,0,0.0093304,0,0,-1,429.883058654569
0.6912,59.7028776318951,-0.001,0,0.0093088,0,0,-1,429.885169046056
0.7128,59.6935920894515,-0.001,0,0.0092872,0,0,-1,429.887279437543
0.7344,59.6843068632121,-0.001,0,0.0092656,0,0,-1,429.829108108942
0.756,59.6750225023293,-0.001,0,0.009244,0,0,-1,429.833936593879
0.7776,59.6657380371513,-0.001,0,0.0092224,0,0,-1,429.838765078815
0.7992,59.656453467678,-0.001,0,0.0092008,0,0,-1,429.843593563752
0.8208,59.6471687939093,-0.001,0,0.0091792,0,0,-1,429.848422048688
0.8424,59.6378840158454,-0.001,0,0.0091576,0,0,-1,429.853250533625
0.864,59.6285991334863,-0.001,0,0.009136,0,0,-1,429.858079018561
0.8856,59.6193141468318,-0.001,0,0.0091144,0,0,-1,429.862907503497
0.9072,59.6100290558821,-0.001,0,0.0090928,0,0,-1,429.867735988434
0.9288,59.6007438606371,-0.001,0,0.0090712,0,0,-1,429.87256447337
0.9504,59.5914585610969,-0.001,0,0.0090496,0,0,-1,429.877392958307
0.972,59.5821731572613,-0.001,0,0.009028,0,0,-1,429.882221443243
0.9936,59.5728876491305,-0.001,0,0.0090064,0,0,-1,429.88704992818
1.0152,59.5636020367044,-0.001,0,0.0089848,0,0,-1,429.891878413116
1.0368,59.5543163199831,-0.001,0,0.0089632,0,0,-1,429.896706898053
1.0584,59.5450304989664,-0.001,0,0.0089416,0,0,-1,429.901535382989
1.08,59.5357445736545,-0.001,0,0.00892,0,0,-1,429.906363867926
1.1016,59.5264585440473,-0.001,0,0.0088984,0,0,-1,429.911192352862
1.1232,59.5171724101449,-0.001,0,0.0088768,0,0,-1,429.916020837798
1.1448,59.5078861719471,-0.001,0,0.0088552,0,0,-1,429.920849322735
1.1664,59.4985998294541,-0.001,0,0.0088336,0,0,-1,429.925677807671
1.188,59.4893138185631,-0.001,0,0.008812,0,0,-1,429.867906024663
1.2096,59.4800286649126,-0.001,0,0.0087904,0,0,-1,429.86854309165
1.2312,59.4707434975016,-0.001,0,0.0087688,0,0,-1,429.869180158638
1.2528,59.4614583163298,-0.001,0,0.0087472,0,0,-1,429.869817225625
1.2744,59.4521731213974,-0.001,0,0.0087256,0,0,-1,429.870454292613
1.296,59.4428879127043,-0.001,0,0.008704,0,0,-1,429.8710913596
1.3176,59.4336026902506,-0.001,0,0.0086824,0,0,-1,429.871728426588
1.3392,59.4243174540363,-0.001,0,0.0086608,0,0,-1,429.872365493575
