"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,90,-0.001,0,0.01,0,0,-1,644.768843987905
0.0216,89.9860730570757,-0.001,0,0.0099784,0,0,-1,644.762908260804
0.0432,89.9721462423631,-0.001,0,0.0099568,0,0,-1,644.756972533703
0.0648,89.9582195558623,-0.001,0,0.0099352,0,0,-1,644.751036806602
0.0864,89.9442929975731,-0.001,0,0.0099136,0,0,-1,644.745101079501
0.108,89.9303665674956,-0.001,0,0.009892,0,0,-1,644.7391653524
0.1296,89.9164402656299,-0.001,0,0.0098704,0,0,-1,644.733229625299
0.1512,89.9025140919758,-0.001,0,0.0098488,0,0,-1,644.727293898198
0.1728,89.8885880465335,-0.001,0,0.0098272,0,0,-1,644.721358171097
0.1944,89.8746621293028,-0.001,0,0.0098056,0,0,-1,644.715422443996
0.216,89.8607363402839,-0.001,0,0.009784,0,0,-1,644.709486716895
0.2376,89.8468106794767,-0.001,0,0.0097624,0,0,-1,644.703550989794
0.2592,89.8328851468811,-0.001,0,0.0097408,0,0,-1,644.697615262693
0.2808,89.8189597424973,-0.001,0,0.0097192,0,0,-1,644.691679535591
0.3024,89.8050344663252,-0.001,0,0.0096976,0,0,-1,644.68574380849
0.324,89.7911093183648,-0.001,0,0.009676,0,0,-1,644.67980808139
0.3456,89.7771840802619,-0.001,0,0.0096544,0,0,-1,644.693244573963
0.3672,89.7632587061792,-0.001,0,0.0096328,0,0,-1,644.693244573964
0.3888,89.7493333320964,-0.001,0,0.0096112,0,0,-1,644.693244573963
0.4104,89.7354079580136,-0.001,0,0.0095896,0,0,-1,644.693244573963
0.432,89.7214825839308,-0.001,0,0.009568,0,0,-1,644.693244573963
0.4536,89.707557209848,-0.001,0,0.0095464,0,0,-1,644.693244573963
0.4752,89.6936318357652,-0.001,0,0.0095248,0,0,-1,644.693244573963
0.4968,89.6797064616824,-0.001,0,0.0095032,0,0,-1,644.693244573963
0.5184,89.6657810875996,-0.001,0,0.0094816,0,0,-1,644.693244573963
0.54,89.6518557135168,-0.001,0,0.00946,0,0,-1,644.693244573963
0.5616,89.637930339434,-0.001,0,0.0094384,0,0,-1,644.693244573963
0.5832,89.6240049653512,-0.001,0,0.0094168,0,0,-1,644.693244573963
0.6048,89.6100795912684,-0.001,0,0.0093952,0,0,-1,644.693244573963
0.6264,89.5961542171856,-0.001,0,0.0093736,0,0,-1,644.693244573963
0.648,89.5822288431028,-0.001,0,0.009352,0,0,-1,644.693244573963
0.6696,89.56830346902,-0.001,0,0.0093304,0,0,-1,644.693244573963
0.6912,89.5543780949372,-0.001,0,0.0093088,0,0,-1,644.693244573963
0.7128,89.5404527208544,-0.001,0,0.0092872,0,0,-1,644.693244573963
0.7344,89.5265270328449,-0.001,0,0.0092656,0,0,-1,644.745877105136
0.756,89.5126005218994,-0.001,0,0.009244,0,0,-1,644.745877105136
0.7776,89.498674010954,-0.001,0,0.0092224,0,0,-1,644.745877105136
0.7992,89.4847475000085,-0.001,0,0.0092008,0,0,-1,644.745877105136
0.8208,89.470820989063,-0.001,0,0.0091792,0,0,-1,644.745877105136
0.8424,89.4568944781176,-0.001,0,0.0091576,0,0,-1,644.745877105136
0.864,89.4429679671721,-0.001,0,0.009136,0,0,-1,644.745877105136
0.8856,89.4290414562266,-0.001,0,0.0091144,0,0,-1,644.745877105136
0.9072,89.4151149452812,-0.001,0,0.0090928,0,0,-1,644.745877105136
0.9288,89.4011884343357,-0.001,0,0.0090712,0,0,-1,644.745877105136
0.9504,89.3872619233902,-0.001,0,0.0090496,0,0,-1,644.745877105136
0.972,89.3733354124447,-0.001,0,0.009028,0,0,-1,644.745877105136
0.9936,89.3594089014993,-0.001,0,0.0090064,0,0,-1,644.745877105136
1.0152,89.3454823905538,-0.001,0,0.0089848,0,0,-1,644.745877105136
1.0368,89.3315558796083,-0.001,0,0.0089632,0,0,-1,644.745877105136
1.0584,89.3176293686629,-0.001,0,0.0089416,0,0,-1,644.745877105136
1.08,89.3037028577174,-0.001,0,0.00892,0,0,-1,644.745877105136
1.1016,89.2897763467719,-0.001,0,0.0088984,0,0,-1,644.745877105136
1.1232,89.2758498358264,-0.001,0,0.0088768,0,0,-1,644.745877105136
1.1448,89.261923324881,-0.001,0,0.0088552,0,0,-1,644.745877105136
1.1664,89.2479968139355,-0.001,0,0.0088336,0,0,-1,644.745877105136
1.188,89.234070563004,-0.001,0,0.008812,0,0,-1,644.709150933221
1.2096,89.2201448315832,-0.001,0,0.0087904,0,0,-1,644.710425067196
1.2312,89.2062190726412,-0.001,0,0.0087688,0,0,-1,644.711699201171
1.2528,89.1922932861778,-0.001,0,0.0087472,0,0,-1,644.712973335146
1.2744,89.1783674721931,-0.001,0,0.0087256,0,0,-1,644.71424746912
1.296,89.1644416306871,-0.001,0,0.008704,0,0,-1,644.715521603095
1.3176,89.1505157616598,-0.001,0,0.0086824,0,0,-1,644.71679573707
1.3392,89.1365898651112,-0.001,0,0.0086608,0,0,-1,644.718069871045
1.3608,89.1226639410414,-0.001,0,0.0086392,0,0,-1,644.71934400502
1.3824,89.1087379894502,-0.001,0,0.0086176,0,0,-1,644.720618138995
1.404,89.0948120103377,-0.001,0,0.008596,0,0,-1,644.72189227297
1.4256,89.080886003704,-0.001,0,0.0085744,0,0,-1,644.723166406945
1.4472,89.066959969549,-0.001,0,0.0085528,0,0,-1,644.72444054092
1.4688,89.0530339078726,-0.001,0,0.0085312,0,0,-1,644.725714674895
1.4904,89.0391078186751,-0.001,0,0.0085096,0,0,-1,644.72698880887
1.512,89.0251817019561,-0.001,0,0.008488,0,0,-1,644.728262942845
1.5336,89.0112555577159,-0.001,0,0.0084664,0,0,-1,644.72953707682
1.5552,88.9973293859544,-0.001,0,0.0084448,0,0,-1,644.730811210794
1.5768,88.9834031866716,-0.001,0,0.0084232,0,0,-1,644.73208534477
1.5984,88.9694769598675,-0.001,0,0.0084016,0,0,-1,644.733359478745
1.62,88.9555507055421,-0.001,0,0.00838,0,0,-1,644.734633612719
1.6416,88.9416244236954,-0.001,0,0.0083584,0,0,-1,644.735907746694
1.6632,88.9276981143275,-0.001,0,0.0083368,0,0,-1,644.737181880669
1.6848,88.9137717774382,-0.001,0,0.0083152,0,0,-1,644.738456014645
1.7064,88.8998454130276,-0.001,0,0.0082936,0,0,-1,644.739730148619
1.728,88.8859190210958,-0.001,0,0.008272,0,0,-1,644.741004282594
1.7496,88.8719926016426,-0.001,0,0.0082504,0,0,-1,644.742278416569
1.7712,88.8580661546682,-0.001,0,0.0082288,0,0,-1,644.743552550544
1.7928,88.8441396801724,-0.001,0,0.0082072,0,0,-1,644.744826684519
1.8144,88.8302131781554,-0.001,0,0.0081856,0,0,-1,644.746100818494
1.836,88.8162866486171,-0.001,0,0.008164,0,0,-1,644.747374952469
1.8576,88.8023600915574,-0.001,0,0.0081424,0,0,-1,644.748649086444
1.8792,88.7884335069765,-0.001,0,0.0081208,0,0,-1,644.749923220418
1.9008,88.7745069161897,-0.001,0,0.0080992,0,0,-1,644.713504524827
1.9224,88.7605811182348,-0.001,0,0.0080776,0,0,-1,644.712232047258
1.944,88.7466553477652,-0.001,0,0.008056,0,0,-1,644.710959569688
1.9656,88.7327296047813,-0.001,0,0.0080344,0,0,-1,644.70968709212
1.9872,88.7188038892829,-0.001,0,0.0080128,0,0,-1,644.708414614551
2.0088,88.70487820127,-0.001,0,0.0079912,0,0,-1,644.707142136981
2.0304,88.6909525407426,-0.001,0,0.0079696,0,0,-1,644.705869659412
2.052,88.6770269077007,-0.001,0,0.007948,0,0,-1,644.704597181843
2.0736,88.6631013021443,-0.001,0,0.0079264,0,0,-1,644.703324704274
2.0952,88.6491757240734,-0.001,0,0.0079048,0,0,-1,644.702052226705
2.1168,88.6352501734881,-0.001,0,0.0078832,0,0,-1,644.700779749136
2.1384,88.6213246503883,-0.001,0,0.0078616,0,0,-1,644.699507271567
2.16,88.607399154774,-0.001,0,0.00784,0,0,-1,644.698234793998
2.1816,88.5934736866452,-0.001,0,0.0078184,0,0,-1,644.696962316428
2.2032,88.579548246002,-0.001,0,0.0077968,0,0,-1,644.69568983886
2.2248,88.5656228328442,-0.001,0,0.0077752,0,0,-1,644.694417361291
2.2464,88.5516974471719,-0.001,0,0.0077536,0,0,-1,644.693144883722
2.268,88.5377720889852,-0.001,0,0.007732,0,0,-1,644.691872406152
2.2896,88.523846758284,-0.001,0,0.0077104,0,0,-1,644.690599928583
2.3112,88.5099214550683,-0.001,0,0.0076888,0,0,-1,644.689327451014
2.3328,88.4959961793381,-0.001,0,0.0076672,0,0,-1,644.688054973445
2.3544,88.4820709310934,-0.001,0,0.0076456,0,0,-1,644.686782495876
2.376,88.4681457103343,-0.001,0,0.007624,0,0,-1,644.685510018307
2.3976,88.4542205170606,-0.001,0,0.0076024,0,0,-1,644.684237540738
2.4192,88.4402953512725,-0.001,0,0.0075808,0,0,-1,644.682965063169
2.4408,88.4263702129699,-0.001,0,0.0075592,0,0,-1,644.6816925856
2.4624,88.4124451021528,-0.001,0,0.0075376,0,0,-1,644.680420108031
2.484,88.3985200188212,-0.001,0,0.007516,0,0,-1,644.679147630462
2.5056,88.3845949629752,-0.001,0,0.0074944,0,0,-1,644.677875152892
2.5272,88.3706699346146,-0.001,0,0.0074728,0,0,-1,644.676602675323
2.5488,88.3567449337396,-0.001,0,0.0074512,0,0,-1,644.675330197754
2.5704,88.3428199603501,-0.001,0,0.0074296,0,0,-1,644.674057720185
2.592,88.3288950144461,-0.001,0,0.007408,0,0,-1,644.672785242616
2.6136,88.3149700960276,-0.001,0,0.0073864,0,0,-1,644.671512765047
2.6352,88.301043177613,-0.001,0,0.0073648,0,0,-1,644.795797689667
2.6568,88.2871158356247,-0.001,0,0.0073432,0,0,-1,644.772904925229
2.6784,88.2731889881202,-0.001,0,0.0073216,0,0,-1,644.750012160792
2.7,88.2592626350993,-0.001,0,0.0073,0,0,-1,644.727119396354
