"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,1,-0.001,0,0.01,0,0,-1,21.495817491507
0.021,0.999548588927565,-0.001,0,0.009979,0,0,-1,21.4957132165864
0.042,0.999097180044903,-0.001,0,0.009958,0,0,-1,21.4956089416659
0.063,0.998645773352015,-0.001,0,0.009937,0,0,-1,21.4955046667453
0.084,0.998194368848901,-0.001,0,0.009916,0,0,-1,21.4954003918248
0.105,0.997742966535559,-0.001,0,0.009895,0,0,-1,21.4952961169043
0.126,0.997291566411991,-0.001,0,0.009874,0,0,-1,21.4951918419837
0.147,0.996840168478195,-0.001,0,0.009853,0,0,-1,21.4950875670631
0.168,0.996388772734174,-0.001,0,0.009832,0,0,-1,21.4949832921426
0.189,0.995937379179925,-0.001,0,0.009811,0,0,-1,21.494879017222
0.21,0.99548598781545,-0.001,0,0.00979,0,0,-1,21.4947747423015
0.231,0.995034598640749,-0.001,0,0.009769,0,0,-1,21.494670467381
0.252,0.99458321165582,-0.001,0,0.009748,0,0,-1,21.4945661924604
0.273,0.994131826860665,-0.001,0,0.009727,0,0,-1,21.4944619175399
0.294,0.993680444255284,-0.001,0,0.009706,0,0,-1,21.4943576426193
0.315,0.993229070101454,-0.001,0,0.009685,0,0,-1,21.4930567986508
0.336,0.992777714558011,-0.001,0,0.009664,0,0,-1,21.4931854339569
0.357,0.992326356313228,-0.001,0,0.009643,0,0,-1,21.4933140692629
0.378,0.991874995367102,-0.001,0,0.009622,0,0,-1,21.493442704569
0.399,0.991423631719635,-0.001,0,0.009601,0,0,-1,21.4935713398751
0.42,0.990972265370827,-0.001,0,0.00958,0,0,-1,21.4936999751812
0.441,0.990520896320678,-0.001,0,0.009559,0,0,-1,21.4938286104872
0.462,0.990069524569187,-0.001,0,0.009538,0,0,-1,21.4939572457933
0.483,0.989618150116355,-0.001,0,0.009517,0,0,-1,21.4940858810994
0.504,0.989166772962181,-0.001,0,0.009496,0,0,-1,21.4942145164055
0.525,0.988715393106666,-0.001,0,0.009475,0,0,-1,21.4943431517116
0.546,0.988264010549809,-0.001,0,0.009454,0,0,-1,21.4944717870176
0.567,0.987812625291611,-0.001,0,0.009433,0,0,-1,21.4946004223237
0.588,0.987361237332071,-0.001,0,0.009412,0,0,-1,21.4947290576298
0.609,0.98690984667119,-0.001,0,0.009391,0,0,-1,21.4948576929359
0.63,0.986458453308968,-0.001,0,0.00937,0,0,-1,21.494986328242
0.651,0.986007057245404,-0.001,0,0.009349,0,0,-1,21.495114963548
0.672,0.985555685928247,-0.001,0,0.009328,0,0,-1,21.4938555148156
0.693,0.98510431453281,-0.001,0,0.009307,0,0,-1,21.4938964314511
0.714,0.984652942278126,-0.001,0,0.009286,0,0,-1,21.4939373480866
0.735,0.984201569164191,-0.001,0,0.009265,0,0,-1,21.4939782647221
0.756,0.983750195191007,-0.001,0,0.009244,0,0,-1,21.4940191813576
0.777,0.983298820358575,-0.001,0,0.009223,0,0,-1,21.4940600979931
0.798,0.982847444666891,-0.001,0,0.009202,0,0,-1,21.4941010146286
0.819,0.98239606811596,-0.001,0,0.009181,0,0,-1,21.4941419312641
0.84,0.981944690705779,-0.001,0,0.00916,0,0,-1,21.4941828478996
0.861,0.981493312436348,-0.001,0,0.009139,0,0,-1,21.4942237645351
0.882,0.981041933307668,-0.001,0,0.009118,0,0,-1,21.4942646811706
0.903,0.980590553319739,-0.001,0,0.009097,0,0,-1,21.4943055978061
0.924,0.980139172472561,-0.001,0,0.009076,0,0,-1,21.4943465144416
0.945,0.979687790766132,-0.001,0,0.009055,0,0,-1,21.4943874310771
0.966,0.979236408200455,-0.001,0,0.009034,0,0,-1,21.4944283477126
0.987,0.978785024775528,-0.001,0,0.009013,0,0,-1,21.4944692643481
1.008,0.978333638587209,-0.001,0,0.008992,0,0,-1,21.4947903125454
1.029,0.977882248144725,-0.001,0,0.008971,0,0,-1,21.4947756383183
1.05,0.9774308580104,-0.001,0,0.00895,0,0,-1,21.4947609640912
1.071,0.976979468184233,-0.001,0,0.008929,0,0,-1,21.494746289864
1.092,0.976528078666226,-0.001,0,0.008908,0,0,-1,21.4947316156369
1.113,0.976076689456376,-0.001,0,0.008887,0,0,-1,21.4947169414097
1.134,0.975625300554686,-0.001,0,0.008866,0,0,-1,21.4947022671826
1.155,0.975173911961155,-0.001,0,0.008845,0,0,-1,21.4946875929555
1.176,0.974722523675782,-0.001,0,0.008824,0,0,-1,21.4946729187283
1.197,0.974271135698568,-0.001,0,0.008803,0,0,-1,21.4946582445012
1.218,0.973819748029513,-0.001,0,0.008782,0,0,-1,21.4946435702741
1.239,0.973368360668617,-0.001,0,0.008761,0,0,-1,21.4946288960469
1.26,0.972916973615879,-0.001,0,0.00874,0,0,-1,21.4946142218198
1.281,0.972465586871301,-0.001,0,0.008719,0,0,-1,21.4945995475927
1.302,0.97201420043488,-0.001,0,0.008698,0,0,-1,21.4945848733655
1.323,0.971562814306619,-0.001,0,0.008677,0,0,-1,21.4945701991384
1.344,0.971111428486516,-0.001,0,0.008656,0,0,-1,21.4945555249112
1.365,0.970660042974573,-0.001,0,0.008635,0,0,-1,21.4945408506841
1.386,0.970208657770788,-0.001,0,0.008614,0,0,-1,21.494526176457
1.407,0.969757272875161,-0.001,0,0.008593,0,0,-1,21.4945115022298
1.428,0.969305888287694,-0.001,0,0.008572,0,0,-1,21.4944968280027
1.449,0.968854504008385,-0.001,0,0.008551,0,0,-1,21.4944821537756
