"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,150,-0.001,0,0.01,0,0,-1,1074.28659003971
0.0216,149.976795153232,-0.001,0,0.0099784,0,0,-1,1074.31033294812
0.0432,149.953589793617,-0.001,0,0.0099568,0,0,-1,1074.33407585652
0.0648,149.930383921155,-0.001,0,0.0099352,0,0,-1,1074.35781876493
0.0864,149.907177535846,-0.001,0,0.0099136,0,0,-1,1074.38156167333
0.108,149.88397063769,-0.001,0,0.009892,0,0,-1,1074.40530458173
0.1296,149.860763226688,-0.001,0,0.0098704,0,0,-1,1074.42904749014
0.1512,149.837555302839,-0.001,0,0.0098488,0,0,-1,1074.45279039854
0.1728,149.814346866143,-0.001,0,0.0098272,0,0,-1,1074.47653330695
0.1944,149.7911379166,-0.001,0,0.0098056,0,0,-1,1074.50027621535
0.216,149.76792845421,-0.001,0,0.009784,0,0,-1,1074.52401912376
0.2376,149.744718478974,-0.001,0,0.0097624,0,0,-1,1074.54776203216
0.2592,149.721507990891,-0.001,0,0.0097408,0,0,-1,1074.57150494056
0.2808,149.69829698996,-0.001,0,0.0097192,0,0,-1,1074.59524784897
0.3024,149.675085476183,-0.001,0,0.0096976,0,0,-1,1074.61899075737
0.324,149.65187344956,-0.001,0,0.009676,0,0,-1,1074.64273366578
0.3456,149.628663628136,-0.001,0,0.0096544,0,0,-1,1074.44208730059
0.3672,149.605455587882,-0.001,0,0.0096328,0,0,-1,1074.45052886654
0.3888,149.582247365289,-0.001,0,0.0096112,0,0,-1,1074.45897043249
0.4104,149.559038960359,-0.001,0,0.0095896,0,0,-1,1074.46741199844
0.432,149.535830373091,-0.001,0,0.009568,0,0,-1,1074.47585356439
0.4536,149.512621603485,-0.001,0,0.0095464,0,0,-1,1074.48429513034
0.4752,149.489412651541,-0.001,0,0.0095248,0,0,-1,1074.49273669629
0.4968,149.46620351726,-0.001,0,0.0095032,0,0,-1,1074.50117826224
0.5184,149.44299420064,-0.001,0,0.0094816,0,0,-1,1074.50961982819
0.54,149.419784701683,-0.001,0,0.00946,0,0,-1,1074.51806139414
0.5616,149.396575020388,-0.001,0,0.0094384,0,0,-1,1074.52650296009
0.5832,149.373365156755,-0.001,0,0.0094168,0,0,-1,1074.53494452604
0.6048,149.350155110784,-0.001,0,0.0093952,0,0,-1,1074.54338609199
