"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
0,-0.001,0,0.01,0,0,-1,4.02089711782096,1
0.0219000016,-0.001,0,0.0099780999984,0,0,-1,4.02089711782096,0.999911942346686
0.0438000032,-0.001,0,0.0099561999968,0,0,-1,4.02089711782096,0.999823884693373
0.0657000048,-0.001,0,0.0099342999952,0,0,-1,4.02089711782096,0.999735827040059
0.0876000064,-0.001,0,0.0099123999936,0,0,-1,4.02089711782096,0.999647769386745
0.109500008,-0.001,0,0.009890499992,0,0,-1,4.02089711782096,0.999559711733431
0.1314000096,-0.001,0,0.0098685999904,0,0,-1,4.02089711782096,0.999471654080118
0.1533000112,-0.001,0,0.0098466999888,0,0,-1,4.02089711782096,0.999383596426804
0.1752000128,-0.001,0,0.0098247999872,0,0,-1,4.02089711782096,0.99929553877349
0.1971000144,-0.001,0,0.0098028999856,0,0,-1,4.02089711782095,0.999207481120177
0.219000016,-0.001,0,0.009780999984,0,0,-1,4.02089711782096,0.999119423466863
0.2409000176,-0.001,0,0.0097590999824,0,0,-1,4.02089711782096,0.999031365813549
0.2628000192,-0.001,0,0.0097371999808,0,0,-1,4.02089711782096,0.998943308160235
0.2847000208,-0.001,0,0.0097152999792,0,0,-1,4.02089711782096,0.998855250506922
0.3066000224,-0.001,0,0.0096933999776,0,0,-1,4.02113014342494,0.998767190275844
0.328500024,-0.001,0,0.009671499976,0,0,-1,4.0210881649872,0.998679127978933
0.3504000256,-0.001,0,0.0096495999744,0,0,-1,4.02104618654945,0.99859106660135
0.3723000272,-0.001,0,0.0096276999728,0,0,-1,4.02100420811171,0.998503006143095
0.3942000288,-0.001,0,0.0096057999712,0,0,-1,4.02096222967397,0.998414946604167
0.4161000304,-0.001,0,0.0095838999696,0,0,-1,4.02092025123623,0.998326887984568
0.438000032,-0.001,0,0.009561999968,0,0,-1,4.02087827279849,0.998238830284296
0.4599000336,-0.001,0,0.0095400999664,0,0,-1,4.02083629436074,0.998150773503353
0.4818000352,-0.001,0,0.0095181999648,0,0,-1,4.020794315923,0.998062717641737
0.5037000368,-0.001,0,0.0094962999632,0,0,-1,4.02075233748526,0.997974662699448
0.5256000384,-0.001,0,0.0094743999616,0,0,-1,4.02071035904751,0.997886608676488
0.54750004,-0.001,0,0.00945249996,0,0,-1,4.02066838060977,0.997798555572856
0.5694000416,-0.001,0,0.0094305999584,0,0,-1,4.02062640217203,0.997710503388552
0.5913000432,-0.001,0,0.0094086999568,0,0,-1,4.02058442373429,0.997622452123575
0.6132000448,-0.001,0,0.0093867999552,0,0,-1,4.02054244529655,0.997534401777926
0.6351000464,-0.001,0,0.0093648999536,0,0,-1,4.0205004668588,0.997446352351605
0.657000048,-0.001,0,0.009342999952,0,0,-1,4.02071348821913,0.997358301854687
0.6789000496,-0.001,0,0.0093210999504,0,0,-1,4.02075504399522,0.997270247767827
0.7008000512,-0.001,0,0.0092991999488,0,0,-1,4.02079659977129,0.997182192770894
0.7227000528,-0.001,0,0.0092772999472,0,0,-1,4.02083815554737,0.99709413686389
0.7446000544,-0.001,0,0.0092553999456,0,0,-1,4.02087971132345,0.997006080046814
0.766500056,-0.001,0,0.009233499944,0,0,-1,4.02092126709953,0.996918022319667
0.7884000576,-0.001,0,0.0092115999424,0,0,-1,4.02096282287561,0.996829963682449
0.8103000592,-0.001,0,0.0091896999408,0,0,-1,4.02100437865169,0.996741904135158
0.8322000608,-0.001,0,0.0091677999392,0,0,-1,4.02104593442777,0.996653843677796
0.8541000624,-0.001,0,0.0091458999376,0,0,-1,4.02108749020385,0.996565782310363
0.876000064,-0.001,0,0.009123999936,0,0,-1,4.02112904597993,0.996477720032858
0.8979000656,-0.001,0,0.0091020999344,0,0,-1,4.02117060175601,0.996389656845281
0.9198000672,-0.001,0,0.0090801999328,0,0,-1,4.02121215753209,0.996301592747633
0.9417000688,-0.001,0,0.0090582999312,0,0,-1,4.02125371330817,0.996213527739914
0.9636000704,-0.001,0,0.0090363999296,0,0,-1,4.02129526908425,0.996125461822122
0.985500072,-0.001,0,0.009014499928,0,0,-1,4.02133682486033,0.996037394994259
1.0074000736,-0.001,0,0.0089925999264,0,0,-1,4.02043543575533,0.995949331267441
1.0293000752,-0.001,0,0.0089706999248,0,0,-1,4.02047640817432,0.995861283276317
1.0512000768,-0.001,0,0.0089487999232,0,0,-1,4.02051738059331,0.995773234387897
1.0731000784,-0.001,0,0.0089268999216,0,0,-1,4.02055835301231,0.995685184602182
1.09500008,-0.001,0,0.00890499992,0,0,-1,4.0205993254313,0.99559713391917
1.1169000816,-0.001,0,0.0088830999184,0,0,-1,4.02064029785029,0.995509082338862
1.1388000832,-0.001,0,0.0088611999168,0,0,-1,4.02068127026928,0.995421029861258
1.1607000848,-0.001,0,0.0088392999152,0,0,-1,4.02072224268827,0.995332976486358
1.1826000864,-0.001,0,0.0088173999136,0,0,-1,4.02076321510726,0.995244922214162
1.204500088,-0.001,0,0.008795499912,0,0,-1,4.02080418752626,0.99515686704467
1.2264000896,-0.001,0,0.0087735999104,0,0,-1,4.02084515994525,0.995068810977881
1.2483000912,-0.001,0,0.0087516999088,0,0,-1,4.02088613236424,0.994980754013797
1.2702000928,-0.001,0,0.0087297999072,0,0,-1,4.02092710478323,0.994892696152417
1.2921000944,-0.001,0,0.0087078999056,0,0,-1,4.02096807720222,0.994804637393741
1.314000096,-0.001,0,0.008685999904,0,0,-1,4.02100904962121,0.994716577737769
