"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
1.6206001184,-0.001,0,0.0083793998816,0,0,-1,4.02088972278851
1.64250012,-0.001,0,0.00835749988,0,0,-1,4.02088972278852
1.6644001216,-0.001,0,0.0083355998784,0,0,-1,4.02088972278851
1.6863001232,-0.001,0,0.0083136998768,0,0,-1,4.02088972278851
1.7082001248,-0.001,0,0.0082917998752,0,0,-1,4.02088972278852
1.7301001264,-0.001,0,0.0082698998736,0,0,-1,4.02088972278851
1.752000128,-0.001,0,0.008247999872,0,0,-1,4.02088972278851
1.7739001296,-0.001,0,0.0082260998704,0,0,-1,4.02096195599615
1.7958001312,-0.001,0,0.0082041998688,0,0,-1,4.02096195599615
1.8177001328,-0.001,0,0.0081822998672,0,0,-1,4.02096195599615
1.8396001344,-0.001,0,0.0081603998656,0,0,-1,4.02096195599615
1.861500136,-0.001,0,0.008138499864,0,0,-1,4.02096195599615
1.8834001376,-0.001,0,0.0081165998624,0,0,-1,4.02096195599615
1.9053001392,-0.001,0,0.0080946998608,0,0,-1,4.02096195599615
1.9272001408,-0.001,0,0.0080727998592,0,0,-1,4.02096195599615
1.9491001424,-0.001,0,0.0080508998576,0,0,-1,4.02096195599615
1.971000144,-0.001,0,0.008028999856,0,0,-1,4.02096195599615
1.9929001456,-0.001,0,0.0080070998544,0,0,-1,4.02096195599615
2.0148001472,-0.001,0,0.0079851998528,0,0,-1,4.02096195599615
2.0367001488,-0.001,0,0.0079632998512,0,0,-1,4.02096195599615
2.0586001504,-0.001,0,0.0079413998496,0,0,-1,4.02096195599615
2.080500152,-0.001,0,0.007919499848,0,0,-1,4.02096195599615
2.1024001536,-0.001,0,0.0078975998464,0,0,-1,4.02096195599615
2.1243001552,-0.001,0,0.0078756998448,0,0,-1,4.02096195599615
2.1462001568,-0.001,0,0.0078537998432,0,0,-1,4.02096195599615
2.1681001584,-0.001,0,0.0078318998416,0,0,-1,4.02096195599615
2.19000016,-0.001,0,0.00780999984,0,0,-1,4.02089087706297
2.2119001616,-0.001,0,0.0077880998384,0,0,-1,4.02089087706297
2.2338001632,-0.001,0,0.0077661998368,0,0,-1,4.02089087706297
2.2557001648,-0.001,0,0.0077442998352,0,0,-1,4.02089087706297
2.2776001664,-0.001,0,0.0077223998336,0,0,-1,4.02089087706297
2.299500168,-0.001,0,0.007700499832,0,0,-1,4.02089087706297
2.3214001696,-0.001,0,0.0076785998304,0,0,-1,4.02089087706297
2.3433001712,-0.001,0,0.0076566998288,0,0,-1,4.02089087706297
2.3652001728,-0.001,0,0.0076347998272,0,0,-1,4.02089087706297
2.3871001744,-0.001,0,0.0076128998256,0,0,-1,4.02089087706297
2.409000176,-0.001,0,0.007590999824,0,0,-1,4.02089087706297
2.4309001776,-0.001,0,0.0075690998224,0,0,-1,4.02089087706297
2.4528001792,-0.001,0,0.0075471998208,0,0,-1,4.02089087706297
2.4747001808,-0.001,0,0.0075252998192,0,0,-1,4.02089087706297
2.4966001824,-0.001,0,0.0075033998176,0,0,-1,4.02089087706297
2.518500184,-0.001,0,0.007481499816,0,0,-1,4.02089087706297
2.5404001856,-0.001,0,0.0074595998144,0,0,-1,4.02089087706297
2.5623001872,-0.001,0,0.0074376998128,0,0,-1,4.02089087706297
2.5842001888,-0.001,0,0.0074157998112,0,0,-1,4.02089087706297
2.6061001904,-0.001,0,0.0073938998096,0,0,-1,4.02089087706297
2.628000192,-0.001,0,0.007371999808,0,0,-1,4.02089087706297
2.6499001936,-0.001,0,0.0073500998064,0,0,-1,4.02089087706297
2.6718001952,-0.001,0,0.0073281998048,0,0,-1,4.02089087706297
