"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,1,-0.001,0,0.01,0,0,-1,3.94180212968152
0.02192,0.999913595697317,-0.001,0,0.00997808,0,0,-1,3.94180212968152
0.04384,0.999827191394635,-0.001,0,0.00995616,0,0,-1,3.94180212968152
0.06576,0.999740787091952,-0.001,0,0.00993424,0,0,-1,3.94180212968152
0.08768,0.99965438278927,-0.001,0,0.00991232,0,0,-1,3.94180212968152
0.1096,0.999567978486587,-0.001,0,0.0098904,0,0,-1,3.94180212968152
0.13152,0.999481574183904,-0.001,0,0.00986848,0,0,-1,3.94180212968152
0.15344,0.999395169881222,-0.001,0,0.00984656,0,0,-1,3.94180212968152
0.17536,0.999308765578539,-0.001,0,0.00982464,0,0,-1,3.94180212968152
0.19728,0.999222361275857,-0.001,0,0.00980272,0,0,-1,3.94180212968152
0.2192,0.999135956973174,-0.001,0,0.0097808,0,0,-1,3.94180212968152
0.24112,0.999049552670491,-0.001,0,0.00975888,0,0,-1,3.94180212968152
0.26304,0.998963148367809,-0.001,0,0.00973696,0,0,-1,3.94180212968152
0.28496,0.998876744065126,-0.001,0,0.00971504,0,0,-1,3.94180212968152
0.30688,0.998790339762444,-0.001,0,0.00969312,0,0,-1,3.94180212968152
0.3288,0.99870393545976,-0.001,0,0.0096712,0,0,-1,3.94180212968152
0.35072,0.998617531157079,-0.001,0,0.00964928,0,0,-1,3.94180212968152
0.37264,0.998531126854395,-0.001,0,0.00962736,0,0,-1,3.94180212968152
0.39456,0.998444722551713,-0.001,0,0.00960544,0,0,-1,3.94180212968152
0.41648,0.998358317521493,-0.001,0,0.00958352,0,0,-1,3.94184226302318
0.4384,0.998271912339087,-0.001,0,0.0095616,0,0,-1,3.94184226302317
0.46032,0.998185507156682,-0.001,0,0.00953968,0,0,-1,3.94184226302318
0.48224,0.998099101974277,-0.001,0,0.00951776,0,0,-1,3.94184226302318
0.50416,0.998012696791872,-0.001,0,0.00949584,0,0,-1,3.94184226302318
0.52608,0.997926291609466,-0.001,0,0.00947392,0,0,-1,3.94184226302318
0.548,0.99783988642706,-0.001,0,0.009452,0,0,-1,3.94184226302318
0.56992,0.997753481244655,-0.001,0,0.00943008,0,0,-1,3.94184226302318
0.59184,0.997667076062249,-0.001,0,0.00940816,0,0,-1,3.94184226302318
0.61376,0.997580670879844,-0.001,0,0.00938624,0,0,-1,3.94184226302318
0.63568,0.997494265697439,-0.001,0,0.00936432,0,0,-1,3.94184226302318
0.6576,0.997407860515033,-0.001,0,0.0093424,0,0,-1,3.94184226302318
0.67952,0.997321455332627,-0.001,0,0.00932048,0,0,-1,3.94184226302318
0.70144,0.997235050150222,-0.001,0,0.00929856,0,0,-1,3.94184226302318
0.72336,0.997148644967817,-0.001,0,0.00927664,0,0,-1,3.94184226302318
0.74528,0.997062239785411,-0.001,0,0.00925472,0,0,-1,3.94184226302318
0.7672,0.996975834603005,-0.001,0,0.0092328,0,0,-1,3.94184226302318
0.78912,0.9968894294206,-0.001,0,0.00921088,0,0,-1,3.94184226302318
0.81104,0.996803024238194,-0.001,0,0.00918896,0,0,-1,3.94184226302318
0.83296,0.996716619055789,-0.001,0,0.00916704,0,0,-1,3.94184226302318
0.85488,0.996630213873384,-0.001,0,0.00914512,0,0,-1,3.94184226302318
0.8768,0.996543808690978,-0.001,0,0.0091232,0,0,-1,3.94184226302317
0.89872,0.996457403508573,-0.001,0,0.00910128,0,0,-1,3.94184226302318
0.92064,0.996370998326167,-0.001,0,0.00907936,0,0,-1,3.94184226302318
0.94256,0.996284593143762,-0.001,0,0.00905744,0,0,-1,3.94184226302318
