"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,1,-0.001,0,0.01,0,0,-1,3.83826085170664
0.021960001,0.999915714768818,-0.001,0,0.009978039999,0,0,-1,3.83798936180418
0.043920002,0.999831435499553,-0.001,0,0.009956079998,0,0,-1,3.83771787190172
0.065880003,0.999747162192208,-0.001,0,0.009934119997,0,0,-1,3.83744638199926
0.087840004,0.999662894846781,-0.001,0,0.009912159996,0,0,-1,3.8371748920968
0.109800005,0.999578633463273,-0.001,0,0.009890199995,0,0,-1,3.83690340219434
0.131760006,0.999494378041683,-0.001,0,0.009868239994,0,0,-1,3.83663191229187
0.153720007,0.999410128582012,-0.001,0,0.009846279993,0,0,-1,3.83636042238941
0.175680008,0.999325885084259,-0.001,0,0.009824319992,0,0,-1,3.83608893248695
0.197640009,0.999241647548425,-0.001,0,0.009802359991,0,0,-1,3.83581744258449
0.21960001,0.99915741597451,-0.001,0,0.00978039999,0,0,-1,3.83554595268203
0.241560011,0.999073190362512,-0.001,0,0.009758439989,0,0,-1,3.83527446277957
0.263520012,0.998988970712433,-0.001,0,0.009736479988,0,0,-1,3.83500297287711
0.285480013,0.998904757024273,-0.001,0,0.009714519987,0,0,-1,3.83473148297465
0.307440014,0.998820549298032,-0.001,0,0.009692559986,0,0,-1,3.83445999307219
0.329400015,0.998736347533708,-0.001,0,0.009670599985,0,0,-1,3.83418850316972
0.351360016,0.998652151731304,-0.001,0,0.009648639984,0,0,-1,3.83391701326726
0.373320017,0.998567961890818,-0.001,0,0.009626679983,0,0,-1,3.8336455233648
0.395280018,0.99848377801225,-0.001,0,0.009604719982,0,0,-1,3.83337403346234
0.417240019,0.998399600095601,-0.001,0,0.009582759981,0,0,-1,3.83310254355988
0.43920002,0.998315428140871,-0.001,0,0.00956079998,0,0,-1,3.83283105365742
0.461160021,0.998231262148059,-0.001,0,0.009538839979,0,0,-1,3.83255956375496
0.483120022,0.998147102117166,-0.001,0,0.009516879978,0,0,-1,3.8322880738525
0.505080023,0.998062922970749,-0.001,0,0.009494919977,0,0,-1,3.83776387712365
0.527040024,0.997978646818692,-0.001,0,0.009472959976,0,0,-1,3.8376594579304
0.549000025,0.997894372959681,-0.001,0,0.009450999975,0,0,-1,3.83755503873714
0.570960026,0.997810101393715,-0.001,0,0.009429039974,0,0,-1,3.83745061954389
0.592920027,0.997725832120796,-0.001,0,0.009407079973,0,0,-1,3.83734620035063
0.614880028,0.997641565140922,-0.001,0,0.009385119972,0,0,-1,3.83724178115738
0.636840029,0.997557300454093,-0.001,0,0.009363159971,0,0,-1,3.83713736196413
0.65880003,0.99747303806031,-0.001,0,0.00934119997,0,0,-1,3.83703294277087
0.680760031,0.997388777959572,-0.001,0,0.009319239969,0,0,-1,3.83692852357762
0.702720032,0.99730452015188,-0.001,0,0.009297279968,0,0,-1,3.83682410438436
0.724680033,0.997220264637234,-0.001,0,0.009275319967,0,0,-1,3.83671968519111
0.746640034,0.997136011415633,-0.001,0,0.009253359966,0,0,-1,3.83661526599785
0.768600035,0.997051760487078,-0.001,0,0.009231399965,0,0,-1,3.8365108468046
0.790560036,0.996967511851569,-0.001,0,0.009209439964,0,0,-1,3.83640642761135
0.812520037,0.996883265509105,-0.001,0,0.009187479963,0,0,-1,3.83630200841809
0.834480038,0.996799021459686,-0.001,0,0.009165519962,0,0,-1,3.83619758922484
0.856440039,0.996714779703313,-0.001,0,0.009143559961,0,0,-1,3.83609317003158
0.87840004,0.996630540239986,-0.001,0,0.00912159996,0,0,-1,3.83598875083833
0.900360041,0.996546303069705,-0.001,0,0.009099639959,0,0,-1,3.83588433164507
0.922320042,0.996462068192469,-0.001,0,0.009077679958,0,0,-1,3.83577991245182
0.944280043,0.996377835608278,-0.001,0,0.009055719957,0,0,-1,3.83567549325856
0.966240044,0.996293605317133,-0.001,0,0.009033759956,0,0,-1,3.83557107406531
0.988200045,0.996209377319034,-0.001,0,0.009011799955,0,0,-1,3.83546665487206
1.010160046,0.996125140572191,-0.001,0,0.008989839954,0,0,-1,3.83662396731609
1.032120047,0.996040889446614,-0.001,0,0.008967879953,0,0,-1,3.83652008914746
1.054080048,0.995956640602202,-0.001,0,0.008945919952,0,0,-1,3.83641621097883
1.076040049,0.995872394038955,-0.001,0,0.008923959951,0,0,-1,3.83631233281019
1.09800005,0.995788149756873,-0.001,0,0.00890199995,0,0,-1,3.83620845464156
1.119960051,0.995703907755955,-0.001,0,0.008880039949,0,0,-1,3.83610457647293
1.141920052,0.995619668036202,-0.001,0,0.008858079948,0,0,-1,3.8360006983043
1.163880053,0.995535430597614,-0.001,0,0.008836119947,0,0,-1,3.83589682013566
1.185840054,0.99545119544019,-0.001,0,0.008814159946,0,0,-1,3.83579294196703
1.207800055,0.995366962563931,-0.001,0,0.008792199945,0,0,-1,3.8356890637984
1.229760056,0.995282731968836,-0.001,0,0.008770239944,0,0,-1,3.83558518562976
1.251720057,0.995198503654907,-0.001,0,0.008748279943,0,0,-1,3.83548130746113
1.273680058,0.995114277622142,-0.001,0,0.008726319942,0,0,-1,3.8353774292925
1.295640059,0.995030053870542,-0.001,0,0.008704359941,0,0,-1,3.83527355112387
1.31760006,0.994945832400106,-0.001,0,0.00868239994,0,0,-1,3.83516967295523
1.339560061,0.994861613210835,-0.001,0,0.008660439939,0,0,-1,3.8350657947866
1.361520062,0.994777396302729,-0.001,0,0.008638479938,0,0,-1,3.83496191661797
1.383480063,0.994693181675787,-0.001,0,0.008616519937,0,0,-1,3.83485803844933
1.405440064,0.99460896933001,-0.001,0,0.008594559936,0,0,-1,3.8347541602807
1.427400065,0.994524759265398,-0.001,0,0.008572599935,0,0,-1,3.83465028211207
1.449360066,0.99444055148195,-0.001,0,0.008550639934,0,0,-1,3.83454640394344
1.471320067,0.994356316811647,-0.001,0,0.008528679933,0,0,-1,3.83590615547529
1.493280068,0.994272079873538,-0.001,0,0.008506719932,0,0,-1,3.83594578203237
1.515240069,0.994187842065229,-0.001,0,0.008484759931,0,0,-1,3.83598540858945
1.53720007,0.994103603386721,-0.001,0,0.00846279993,0,0,-1,3.83602503514653
1.559160071,0.994019363838013,-0.001,0,0.008440839929,0,0,-1,3.83606466170361
1.581120072,0.993935123419107,-0.001,0,0.008418879928,0,0,-1,3.83610428826069
1.603080073,0.993850882130001,-0.001,0,0.008396919927,0,0,-1,3.83614391481777
1.625040074,0.993766639970696,-0.001,0,0.008374959926,0,0,-1,3.83618354137485
1.647000075,0.993682396941191,-0.001,0,0.008352999925,0,0,-1,3.83622316793193
1.668960076,0.993598153041487,-0.001,0,0.008331039924,0,0,-1,3.83626279448901
