"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,120,-0.001,0,0.01,0,0,-1,859.584952468483
0.0216,119.981432965027,-0.001,0,0.0099784,0,0,-1,859.584952468483
0.0432,119.962865930053,-0.001,0,0.0099568,0,0,-1,859.584952468483
0.0648,119.94429889508,-0.001,0,0.0099352,0,0,-1,859.584952468483
0.0864,119.925731860107,-0.001,0,0.0099136,0,0,-1,859.584952468483
0.108,119.907164825133,-0.001,0,0.009892,0,0,-1,859.584952468483
0.1296,119.88859779016,-0.001,0,0.0098704,0,0,-1,859.584952468483
0.1512,119.870030755187,-0.001,0,0.0098488,0,0,-1,859.584952468483
0.1728,119.851463720214,-0.001,0,0.0098272,0,0,-1,859.584952468483
0.1944,119.83289668524,-0.001,0,0.0098056,0,0,-1,859.584952468483
0.216,119.814329650267,-0.001,0,0.009784,0,0,-1,859.584952468483
0.2376,119.795762615294,-0.001,0,0.0097624,0,0,-1,859.584952468483
0.2592,119.77719558032,-0.001,0,0.0097408,0,0,-1,859.584952468483
0.2808,119.758628545347,-0.001,0,0.0097192,0,0,-1,859.584952468483
0.3024,119.740061510374,-0.001,0,0.0096976,0,0,-1,859.584952468483
0.324,119.7214944754,-0.001,0,0.009676,0,0,-1,859.584952468483
0.3456,119.702927907398,-0.001,0,0.0096544,0,0,-1,859.548360276244
0.3672,119.684361617232,-0.001,0,0.0096328,0,0,-1,859.55258105922
0.3888,119.665795235897,-0.001,0,0.0096112,0,0,-1,859.556801842194
0.4104,119.647228763392,-0.001,0,0.0095896,0,0,-1,859.561022625168
0.432,119.628662199719,-0.001,0,0.009568,0,0,-1,859.565243408143
0.4536,119.610095544877,-0.001,0,0.0095464,0,0,-1,859.569464191118
0.4752,119.591528798866,-0.001,0,0.0095248,0,0,-1,859.573684974093
0.4968,119.572961961686,-0.001,0,0.0095032,0,0,-1,859.577905757067
0.5184,119.554395033337,-0.001,0,0.0094816,0,0,-1,859.582126540041
0.54,119.53582801382,-0.001,0,0.00946,0,0,-1,859.586347323017
