"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,1,-0.001,0,0.01,0,0,-1,15.9138360538998
0.0212,0.99966262728716,-0.001,0,0.0099788,0,0,-1,15.9137783649632
0.0424,0.999325255797326,-0.001,0,0.0099576,0,0,-1,15.9137206760265
0.0636,0.998987885530497,-0.001,0,0.0099364,0,0,-1,15.9136629870898
0.0848,0.998650516486673,-0.001,0,0.0099152,0,0,-1,15.9136052981531
0.106,0.998313148665855,-0.001,0,0.009894,0,0,-1,15.9135476092164
0.1272,0.997975782068042,-0.001,0,0.0098728,0,0,-1,15.9134899202797
0.1484,0.997638416693235,-0.001,0,0.0098516,0,0,-1,15.913432231343
0.1696,0.997301052541433,-0.001,0,0.0098304,0,0,-1,15.9133745424063
0.1908,0.996963689612637,-0.001,0,0.0098092,0,0,-1,15.9133168534696
0.212,0.996626327906846,-0.001,0,0.009788,0,0,-1,15.913259164533
0.2332,0.996288967424061,-0.001,0,0.0097668,0,0,-1,15.9132014755963
0.2544,0.995951608164281,-0.001,0,0.0097456,0,0,-1,15.9131437866596
0.2756,0.995614250127506,-0.001,0,0.0097244,0,0,-1,15.9130860977229
0.2968,0.995276891315779,-0.001,0,0.0097032,0,0,-1,15.9155254756417
0.318,0.994939483001294,-0.001,0,0.009682,0,0,-1,15.9154475889589
0.3392,0.994602076338007,-0.001,0,0.0096608,0,0,-1,15.9153697022761
0.3604,0.994264671325918,-0.001,0,0.0096396,0,0,-1,15.9152918155933
0.3816,0.993927267965026,-0.001,0,0.0096184,0,0,-1,15.9152139289106
0.4028,0.993589866255332,-0.001,0,0.0095972,0,0,-1,15.9151360422278
0.424,0.993252466196836,-0.001,0,0.009576,0,0,-1,15.915058155545
0.4452,0.992915067789537,-0.001,0,0.0095548,0,0,-1,15.9149802688622
0.4664,0.992577671033435,-0.001,0,0.0095336,0,0,-1,15.9149023821794
0.4876,0.992240275928532,-0.001,0,0.0095124,0,0,-1,15.9148244954966
0.5088,0.991902882474827,-0.001,0,0.0094912,0,0,-1,15.9147466088139
0.53,0.991565490672319,-0.001,0,0.00947,0,0,-1,15.9146687221311
0.5512,0.991228100521008,-0.001,0,0.0094488,0,0,-1,15.9145908354483
0.5724,0.990890712020895,-0.001,0,0.0094276,0,0,-1,15.9145129487655
0.5936,0.990553325171981,-0.001,0,0.0094064,0,0,-1,15.9144350620827
0.6148,0.990215939974263,-0.001,0,0.0093852,0,0,-1,15.9143571754
0.636,0.989878556427744,-0.001,0,0.009364,0,0,-1,15.9142792887172
0.6572,0.989541174532422,-0.001,0,0.0093428,0,0,-1,15.9142014020344
0.6784,0.989203794288298,-0.001,0,0.0093216,0,0,-1,15.9141235153516
0.6996,0.988866415695371,-0.001,0,0.0093004,0,0,-1,15.9140456286688
0.7208,0.988529038753642,-0.001,0,0.0092792,0,0,-1,15.913967741986
0.742,0.988191662355636,-0.001,0,0.009258,0,0,-1,15.9141308863682
0.7632,0.987854282780844,-0.001,0,0.0092368,0,0,-1,15.9141308863682
0.7844,0.987516903206053,-0.001,0,0.0092156,0,0,-1,15.9141308863682
0.8056,0.987179523631262,-0.001,0,0.0091944,0,0,-1,15.9141308863682
0.8268,0.986842144056471,-0.001,0,0.0091732,0,0,-1,15.9141308863682
0.848,0.98650476448168,-0.001,0,0.009152,0,0,-1,15.9141308863682
0.8692,0.986167384906889,-0.001,0,0.0091308,0,0,-1,15.9141308863682
0.8904,0.985830005332098,-0.001,0,0.0091096,0,0,-1,15.9141308863682
0.9116,0.985492625757308,-0.001,0,0.0090884,0,0,-1,15.9141308863682
0.9328,0.985155246182516,-0.001,0,0.0090672,0,0,-1,15.9141308863682
0.954,0.984817866607726,-0.001,0,0.009046,0,0,-1,15.9141308863682
0.9752,0.984480487032934,-0.001,0,0.0090248,0,0,-1,15.9141308863682
0.9964,0.984143107458143,-0.001,0,0.0090036,0,0,-1,15.9141308863682
1.0176,0.983805727883352,-0.001,0,0.0089824,0,0,-1,15.9141308863682
1.0388,0.983468348308561,-0.001,0,0.0089612,0,0,-1,15.9141308863682
1.06,0.98313096873377,-0.001,0,0.00894,0,0,-1,15.9141308863682
1.0812,0.982793589158979,-0.001,0,0.0089188,0,0,-1,15.9141308863682
1.1024,0.982456209584188,-0.001,0,0.0088976,0,0,-1,15.9141308863682
1.1236,0.982118830009398,-0.001,0,0.0088764,0,0,-1,15.9141308863682
1.1448,0.981781450434606,-0.001,0,0.0088552,0,0,-1,15.9141308863682
1.166,0.981444070859815,-0.001,0,0.008834,0,0,-1,15.9141308863682
1.1872,0.981106691285024,-0.001,0,0.0088128,0,0,-1,15.9141308863682
1.2084,0.980769311710233,-0.001,0,0.0087916,0,0,-1,15.9141308863682
1.2296,0.980431932135442,-0.001,0,0.0087704,0,0,-1,15.9141308863682
1.2508,0.980094552560651,-0.001,0,0.0087492,0,0,-1,15.9141308863682
1.272,0.97975717298586,-0.001,0,0.008728,0,0,-1,15.9141308863682
1.2932,0.979419793411069,-0.001,0,0.0087068,0,0,-1,15.9141308863682
1.3144,0.979082413836278,-0.001,0,0.0086856,0,0,-1,15.9141308863682
1.3356,0.978745034261487,-0.001,0,0.0086644,0,0,-1,15.9141308863682
1.3568,0.978407654686696,-0.001,0,0.0086432,0,0,-1,15.9141308863682
1.378,0.978070282222194,-0.001,0,0.008622,0,0,-1,15.9137412625722
1.3992,0.977732910700678,-0.001,0,0.0086008,0,0,-1,15.9137607671914
1.4204,0.977395538765665,-0.001,0,0.0085796,0,0,-1,15.9137802718105
1.4416,0.977058166417154,-0.001,0,0.0085584,0,0,-1,15.9137997764297
1.4628,0.976720793655145,-0.001,0,0.0085372,0,0,-1,15.9138192810488
1.484,0.976383420479637,-0.001,0,0.008516,0,0,-1,15.9138387856679
1.5052,0.976046046890632,-0.001,0,0.0084948,0,0,-1,15.9138582902871
1.5264,0.975708672888129,-0.001,0,0.0084736,0,0,-1,15.9138777949062
1.5476,0.975371298472128,-0.001,0,0.0084524,0,0,-1,15.9138972995253
1.5688,0.97503392364263,-0.001,0,0.0084312,0,0,-1,15.9139168041445
1.59,0.974696548399633,-0.001,0,0.00841,0,0,-1,15.9139363087636
1.6112,0.974359172743138,-0.001,0,0.0083888,0,0,-1,15.9139558133828
