1	1	-0.0000100000	0.0000010000	0
1	2	-0.0000050000	0.0000010000	0
2	1	-0.0000050000	0.0000010000	0
2	2	-0.0000050000	0.0000000200	0
3	1	-0.0000050000	0.0000000200	0
3	2	0.0000050000	0.0000000200	0
4	1	0.0000050000	0.0000000200	0
4	2	0.0000050000	0.0000010000	0
5	1	0.0000050000	0.0000010000	0
5	2	0.0000100000	0.0000010000	0
6	1	0.0000100000	0.0000010000	0
6	2	0.0000100000	0.0000000000	0
7	1	0.0000100000	0.0000000000	0
7	2	-0.0000100000	0.0000000000	0
8	1	-0.0000100000	0.0000000000	0
8	2	-0.0000100000	0.0000010000	0
