"Distance [mm]","Distance [mm]","XOnLine []","YOnLine []","ZOnLine []","Voltage [V]","TangentialE []"
0,0,0.1,0.0267949192431122,0,13.2199122700138,-3.80720325083186
0.178836208532978,0.178836208532978,0.0998272574875024,0.02674863302639,0,13.2206194018303,-4.10094714371154
0.357672417065957,0.357672417065957,0.0996545149750047,0.0267023468096677,0,13.2213790656909,-4.39469103659125
0.536508625598935,0.536508625598935,0.0994817724625071,0.0266560605929455,0,13.2221912615956,-4.68843492947093
0.715344834131913,0.715344834131913,0.0993090299500095,0.0266097743762232,0,13.2230559895444,-4.98217882235062
0.894181042664892,0.894181042664892,0.0991362874375119,0.0265634881595009,0,13.2239732495373,-5.2759227152303
1.07301725119787,1.07301725119787,0.0989635449250143,0.0265172019427787,0,13.2249430415742,-5.56966660811001
1.25185345973085,1.25185345973085,0.0987908024125167,0.0264709157260564,0,13.2259653656553,-5.86341050098969
1.43068966826383,1.43068966826383,0.098618059900019,0.0264246295093342,0,13.2270402217804,-6.15715439386937
1.60952587679681,1.60952587679681,0.0984453173875214,0.0263783432926119,0,13.2281676099496,-6.45089828674906
1.78836208532978,1.78836208532978,0.0982725748750238,0.0263320570758896,0,13.2293475301628,-6.74464217962878
1.96719829386276,1.96719829386276,0.0980998323625262,0.0262857708591674,0,13.2305799824202,-7.03838607250844
2.14603450239574,2.14603450239574,0.0979270898500285,0.0262394846424451,0,13.2318649667216,-7.33212996538815
2.32487071092872,2.32487071092872,0.0977543473375309,0.0261931984257229,0,13.233189987175,-7.47303478116697
2.5037069194617,2.5037069194617,0.0975816048250333,0.0261469122090006,0,13.234553749356,-7.77848718091426
2.68254312799467,2.68254312799467,0.0974088623125357,0.0261006259922783,0,13.2359721374861,-8.08393958066155
2.86137933652765,2.86137933652765,0.0972361198000381,0.0260543397755561,0,13.2374451515652,-8.38939198040884
3.04021554506063,3.04021554506063,0.0970633772875405,0.0260080535588338,0,13.2389727915934,-8.69484438015614
3.21905175359361,3.21905175359361,0.0968906347750428,0.0259617673421116,0,13.2405550575707,-9.00029677990346
3.39788796212659,3.39788796212659,0.0967178922625452,0.0259154811253893,0,13.242191949497,-9.30574917965075
3.57672417065957,3.57672417065957,0.0965451497500476,0.025869194908667,0,13.2438834673724,-9.61120157939805
3.75556037919254,3.75556037919254,0.09637240723755,0.0258229086919448,0,13.2456296111968,-9.91665397914534
3.93439658772552,3.93439658772552,0.0961996647250523,0.0257766224752225,0,13.2474303809703,-10.2221063788927
4.1132327962585,4.1132327962585,0.0960269222125547,0.0257303362585003,0,13.2492857766929,-10.52755877864
4.29206900479148,4.29206900479148,0.0958541797000571,0.025684050041778,0,13.2511957983645,-10.8330111783872
4.47090521332446,4.47090521332446,0.0956814371875595,0.0256377638250557,0,13.2531604459852,-11.1384635781345
4.64974142185744,4.64974142185744,0.0955086946750618,0.0255914776083335,0,13.2551797195549,-11.4439159778819
4.82857763039041,4.82857763039041,0.0953359521625642,0.0255451913916112,0,13.2572536190737,-11.7493683776292
5.00741383892339,5.00741383892339,0.0951632096500666,0.0254989051748889,0,13.2593821445415,-12.0548207773764
5.18625004745637,5.18625004745637,0.094990467137569,0.0254526189581667,0,13.2615652959584,-12.3602731771237
5.36508625598935,5.36508625598935,0.0948177246250714,0.0254063327414444,0,13.2638030733244,-12.6657255768711
5.54392246452233,5.54392246452233,0.0946449821125737,0.0253600465247222,0,13.2660954766394,-12.9711779766184
5.72275867305531,5.72275867305531,0.0944722396000761,0.0253137603079999,0,13.2684425059035,-13.2766303763656
5.90159488158828,5.90159488158828,0.0942994970875785,0.0252674740912776,0,13.2708441611166,-13.582082776113
6.08043109012126,6.08043109012126,0.0941267545750809,0.0252211878745554,0,13.2733004422788,-13.8875351758603
6.25926729865424,6.25926729865424,0.0939540120625832,0.0251749016578331,0,13.27581134939,-14.1929875756076
6.43810350718722,6.43810350718722,0.0937812695500856,0.0251286154411109,0,13.2783768824503,-14.4984399753549
6.6169397157202,6.6169397157202,0.093608527037588,0.0250823292243886,0,13.2809970414597,-14.8038923751021
6.79577592425318,6.79577592425318,0.0934357845250904,0.0250360430076663,0,13.2836718264181,-15.1093447748495
6.97461213278616,6.97461213278616,0.0932630420125928,0.0249897567909441,0,13.2864012373256,-15.4147971745968
7.15344834131913,7.15344834131913,0.0930902995000951,0.0249434705742218,0,13.2891852741821,-15.7202495743441
7.33228454985211,7.33228454985211,0.0929175569875975,0.0248971843574996,0,13.2920239369877,-16.0257019740914
7.51112075838509,7.51112075838509,0.0927448144750999,0.0248508981407773,0,13.2949172257424,-16.3311543738387
7.68995696691807,7.68995696691807,0.0925720719626023,0.024804611924055,0,13.2978651404461,-16.636606773586
7.86879317545105,7.86879317545105,0.0923993294501047,0.0247583257073328,0,13.3008676810989,-16.9420591733333
8.04762938398402,8.04762938398402,0.092226586937607,0.0247120394906105,0,13.3039248477007,-17.2475115730805
8.226465592517,8.226465592517,0.0920538444251094,0.0246657532738883,0,13.3070366402516,-17.5529639728279
8.40530180104998,8.40530180104998,0.0918811019126118,0.024619467057166,0,13.3102030587515,-17.8584163725752
8.58413800958296,8.58413800958296,0.0917083594001142,0.0245731808404437,0,13.3134241032005,-18.1638687723225
8.76297421811594,8.76297421811594,0.0915356168876166,0.0245268946237215,0,13.3166997735986,-18.4693211720698
8.94181042664892,8.94181042664892,0.0913628743751189,0.0244806084069992,0,13.3200275931395,-18.6708319891117
9.12064663518189,9.12064663518189,0.0911901318626213,0.0244343221902769,0,13.3233992846928,-19.0362026322449
