1	1	   -0.000010	    0.000001	0
1	2	   -0.000005	    0.000001	0
2	1	   -0.000005	    0.000001	0
2	2	   -0.000005	    0.000000	0
3	1	   -0.000005	    0.000000	0
3	2	    0.000005	    0.000000	0
4	1	    0.000005	    0.000000	0
4	2	    0.000005	    0.000001	0
5	1	    0.000005	    0.000001	0
5	2	    0.000010	    0.000001	0
6	1	    0.000010	    0.000001	0
6	2	    0.000010	    0.000000	0
7	1	    0.000010	    0.000000	0
7	2	   -0.000010	    0.000000	0
8	1	   -0.000010	    0.000000	0
8	2	   -0.000010	    0.000001	0
