330,0,330
340,0,340
372,0,372
350,0,350
316,0,316
266,0,266
204,0,204
198,0,198
236,0,236
0,2,0
431,0,431
543,0,543
498,0,498
408,0,408
327,0,327
261,0,261
196,0,196
134,0,134
84,0,84
42,0,42
27,0,27
69,0,69
0,0,0
123,0,123
200,0,200
281,0,281
335,0,335
335,0,335
362,0,362
342,0,342
311,0,311
272,0,272
204,0,204
199,0,199
240,0,240
0,2,0
439,0,439
541,0,541
493,0,493
402,0,402
324,0,324
263,0,263
204,0,204
141,0,141
86,0,86
47,0,47
26,0,26
65,0,65
0,0,0
126,0,126
200,0,200
280,0,280
331,0,331
330,0,330
352,0,352
337,0,337
318,0,318
272,0,272
205,0,205
199,0,199
236,0,236
0,2,0
438,0,438
538,0,538
489,0,489
396,0,396
325,0,325
261,0,261
203,0,203
138,0,138
84,0,84
53,0,53
29,0,29
69,0,69
0,0,0
129,0,129
204,0,204
285,0,285
335,0,335
336,0,336
355,0,355
337,0,337
313,1,312
270,0,270
208,0,208
199,0,199
238,0,238
0,2,0
438,0,438
540,0,540
485,0,485
395,0,395
319,0,319
267,0,267
207,0,207
144,0,144
90,0,90
55,0,55
32,0,32
71,0,71
0,0,0
131,0,131
207,0,207
281,0,281
332,0,332
341,0,341
349,0,349
336,0,336
317,0,317
273,0,273
208,0,208
202,0,202
238,0,238
0,2,0
443,0,443
541,0,541
479,0,479
396,0,396
330,0,330
278,0,278
211,0,211
148,0,148
94,1,93
50,0,50
30,0,30
70,2,68
0,0,0
129,0,129
205,0,205
279,0,279
336,0,336
336,0,336
349,0,349
333,0,333
316,0,316
281,0,281
216,0,216
203,0,203
241,0,241
0,2,0
445,0,445
538,0,538
479,0,479
400,0,400
334,0,334
279,0,279
214,0,214
146,0,146
91,0,91
52,0,52
26,0,26
71,0,71
0,0,0
130,0,130
204,0,204
293,0,293
337,4,333
337,4,333
351,0,351
342,0,342
319,1,318
281,3,278
219,0,219
205,0,205
247,0,247
0,2,0
448,0,448
543,0,543
486,0,486
405,0,405
341,0,341
285,0,285
217,0,217
147,0,147
92,0,92
53,0,53
28,0,28
73,0,73
0,0,0
132,0,132
213,0,213
293,0,293
347,0,347
343,1,342
357,0,357
340,0,340
321,0,321
284,0,284
222,0,222
211,0,211
249,0,249
0,2,0
454,0,454
546,0,546
487,0,487
410,0,410
349,0,349
298,0,298
225,2,223
155,0,155
102,0,102
57,0,57
33,0,33
78,0,78
0,0,0
139,2,137
218,0,218
304,0,304
351,0,351
351,0,351
360,0,360
339,0,339
322,0,322
295,0,295
227,0,227
219,0,219
253,0,253
0,2,0
459,0,459
540,0,540
495,0,495
425,0,425
368,0,368
309,0,309
236,0,236
165,0,165
106,0,106
58,0,58
26,0,26
71,0,71
0,0,0
139,0,139
215,0,215
305,0,305
354,0,354
363,0,363
377,0,377
346,0,346
323,0,323
296,0,296
234,0,234
227,0,227
260,0,260
0,2,0
462,0,462
544,0,544
500,0,500
438,0,438
386,0,386
327,0,327
254,0,254
175,0,175
110,0,110
64,0,64
33,0,33
80,0,80
0,0,0
146,0,146
234,0,234
316,2,314
380,0,380
377,0,377
367,0,367
341,0,341
321,0,321
299,0,299
237,0,237
231,0,231
258,0,258
0,2,0
463,0,463
547,1,546
507,0,507
448,0,448
407,0,407
339,0,339
260,0,260
181,0,181
110,0,110
62,0,62
36,0,36
85,0,85
0,0,0
155,0,155
242,0,242
334,0,334
395,0,395
391,0,391
382,0,382
357,0,357
320,0,320
295,0,295
245,0,245
233,0,233
254,0,254
0,2,0
462,0,462
546,0,546
518,0,518
469,3,466
431,0,431
360,0,360
277,0,277
190,0,190
121,0,121
69,0,69
37,0,37
89,0,89
0,0,0
161,0,161
250,0,250
354,0,354
413,0,413
408,0,408
391,0,391
356,0,356
322,0,322
287,0,287
244,0,244
236,0,236
258,1,257
0,2,0
446,0,446
544,0,544
533,0,533
496,0,496
452,0,452
378,0,378
282,0,282
197,1,196
123,0,123
71,0,71
40,0,40
94,0,94
0,0,0
167,0,167
261,0,261
355,0,355
422,0,422
422,1,421
399,0,399
365,0,365
327,0,327
281,1,280
249,0,249
241,0,241
256,0,256
0,2,0
441,0,441
536,0,536
545,0,545
526,0,526
470,0,470
382,2,380
285,0,285
198,0,198
125,3,122
70,0,70
39,1,38
91,0,91
0,0,0
163,0,163
256,0,256
347,0,347
419,0,419
430,0,430
409,0,409
369,0,369
324,0,324
285,0,285
246,0,246
240,0,240
255,0,255
0,2,0
437,0,437
542,0,542
557,0,557
553,0,553
491,0,491
402,0,402
308,0,308
214,2,212
129,0,129
74,0,74
41,0,41
96,0,96
0,0,0
168,0,168
265,0,265
367,0,367
440,0,440
447,0,447
422,0,422
375,3,372
328,0,328
286,0,286
247,0,247
245,0,245
258,2,256
0,2,0
433,0,433
537,0,537
575,0,575
579,0,579
511,0,511
413,0,413
306,0,306
208,0,208
131,2,129
74,0,74
41,0,41
95,0,95
0,0,0
170,0,170
269,0,269
365,0,365
447,0,447
457,0,457
429,0,429
385,0,385
333,2,331
287,1,286
246,0,246
245,0,245
257,0,257
0,2,0
426,0,426
537,0,537
598,0,598
604,0,604
521,0,521
410,0,410
303,0,303
201,0,201
127,0,127
74,0,74
41,0,41
94,0,94
0,0,0
168,0,168
268,0,268
368,0,368
447,0,447
460,0,460
445,0,445
388,0,388
337,0,337
284,0,284
247,0,247
246,0,246
264,0,264
0,2,0
422,0,422
536,0,536
618,0,618
